time,Fan,Hair dryer,Lamp,Vacuum,Water kettle
1636804868.10978,0,0,0,0,0
1636804869.13608,0,0,0,0,0
1636804870.16423,0,0,0,0,0
1636804871.19267,0,0,0,0,0
1636804872.22101,0,0,0,0,0
1636804873.24922,0,0,0,0,0
1636804874.27712,0,0,0,1,0
1636804875.30528,0,0,0,1,0
1636804876.3339,0,0,0,1,0
1636804877.36204,0,0,0,1,0
1636804878.39079,0,0,0,1,0
1636804879.4196,0,0,0,1,0
1636804880.4486,0,0,0,1,0
1636804881.48022,0,0,0,1,0
1636804882.50832,0,0,0,1,0
1636804883.53639,1,0,0,1,0
1636804884.56505,1,0,0,1,0
1636804885.59289,1,0,0,1,0
1636804886.62085,1,0,0,1,0
1636804887.64929,1,0,0,1,0
1636804888.67754,1,0,0,1,0
1636804889.70602,1,0,0,1,0
1636804890.73458,1,0,0,1,0
1636804891.76251,1,0,0,1,0
1636804892.79051,1,0,0,1,0
1636804893.81918,1,0,0,1,0
1636804894.84749,1,0,1,1,0
1636804895.8758,1,0,1,1,0
1636804896.90416,1,0,1,1,0
1636804897.93295,1,0,1,1,0
1636804898.96139,1,0,1,1,0
1636804899.98978,1,0,1,1,0
1636804901.01802,1,0,1,1,0
1636804902.04638,1,0,1,1,0
1636804903.07389,1,0,1,1,0
1636804904.10217,1,0,1,1,0
1636804905.13491,1,0,1,1,0
1636804906.16302,1,0,1,1,0
1636804907.19128,0,0,1,1,0
1636804908.21977,0,0,1,1,0
1636804909.24832,0,0,1,1,0
1636804910.27634,0,0,1,1,0
1636804911.30645,0,0,1,1,0
1636804912.3348,0,0,1,1,0
1636804913.36329,0,0,1,1,0
1636804914.39146,0,0,1,1,0
1636804915.41949,0,0,1,0,0
1636804916.44773,0,0,1,0,0
1636804917.47573,0,0,1,0,0
1636804918.50381,0,0,1,0,0
1636804919.53216,0,0,1,0,0
1636804920.5601,0,0,1,0,0
1636804921.58862,0,0,1,0,0
1636804922.61673,0,0,1,0,0
1636804923.64509,0,0,1,0,0
1636804924.67412,0,0,1,0,0
1636804925.70277,0,0,0,0,0
1636804926.7308,0,0,0,0,0
1636804927.75973,0,0,0,0,0
1636804928.78893,0,0,0,0,0
1636804929.81784,0,0,0,0,0
1636804930.84562,0,0,0,0,0
1636804931.87348,0,0,0,0,0
1636804932.90192,0,0,0,0,0
1636804933.93058,0,0,0,0,0
1636804934.95915,0,0,0,0,0
1636804935.98685,0,0,0,0,0
1636804937.0161,1,0,0,0,0
1636804938.04398,1,0,0,0,0
1636804939.07371,1,0,0,0,0
1636804940.10491,1,0,0,0,0
1636804941.13339,1,0,0,0,0
1636804942.1613,1,0,0,0,0
1636804943.18949,1,0,0,0,0
1636804944.21785,1,0,0,0,0
1636804945.24643,1,0,0,0,0
1636804946.27383,1,0,0,0,0
1636804947.30192,1,0,0,0,0
1636804948.33017,1,1,0,0,0
1636804949.35803,1,1,0,0,0
1636804950.38617,1,1,0,0,0
1636804951.41441,1,1,0,0,0
1636804952.4429,1,1,0,0,0
1636804953.47128,0,1,0,0,0
1636804954.4998,0,1,0,0,0
1636804955.52802,0,1,0,0,0
1636804956.55599,0,1,0,0,0
1636804957.58462,0,1,0,0,0
1636804958.61336,0,1,0,0,0
1636804959.6411,0,1,0,0,0
1636804960.66965,0,1,0,0,0
1636804961.69805,0,1,0,0,0
1636804962.72632,0,1,0,0,0
1636804963.75426,0,1,0,0,0
1636804964.78226,0,1,0,0,0
1636804965.81017,0,1,0,0,0
1636804966.83812,0,1,0,0,0
1636804967.86647,0,1,0,0,0
1636804968.89651,0,1,0,0,0
1636804969.92465,0,1,0,0,0
1636804970.95267,0,1,0,0,0
1636804971.98094,0,0,0,0,0
1636804973.00948,0,0,0,0,0
1636804974.0378,0,0,0,0,0
1636804975.06645,0,0,0,0,0
1636804976.09537,0,0,0,0,0
1636804977.12388,0,0,0,0,0
1636804978.15241,0,0,0,0,0
1636804979.18087,0,0,0,0,0
1636804980.20942,0,0,0,0,0
1636804981.23764,0,0,0,0,0
1636804982.26583,0,0,0,0,0
1636804983.29398,0,0,0,0,0
1636804984.32216,0,0,0,0,0
1636804985.3502,0,0,0,0,0
1636804986.37839,0,0,0,0,0
1636804987.40575,0,0,0,0,0
1636804988.43341,0,0,0,0,0
1636804989.46191,0,0,0,0,0
1636804990.48943,0,0,0,0,0
1636804991.51747,0,0,0,0,0
1636804992.54546,0,0,0,0,0
1636804993.57421,0,0,0,0,0
1636804994.60215,0,0,0,0,0
1636804995.63131,0,0,0,0,0
1636804996.65971,0,0,0,0,1
1636804997.68742,0,0,0,0,1
1636804998.71588,0,0,0,0,1
1636804999.74422,0,0,0,0,1
1636805000.77342,0,0,0,0,1
1636805001.80224,0,0,0,0,1
1636805002.83105,0,0,0,0,1
1636805003.85999,0,0,0,0,1
1636805004.88794,0,0,0,0,1
1636805005.91612,0,0,0,0,1
1636805006.94454,1,0,0,0,1
1636805007.97268,1,0,0,0,1
1636805009.00155,1,0,0,0,1
1636805010.03005,1,0,0,0,1
1636805011.0585,1,0,0,0,1
1636805012.08636,1,0,0,0,1
1636805013.11471,1,0,0,0,1
1636805014.1434,1,0,0,0,1
1636805015.17143,1,0,0,0,1
1636805016.19989,1,0,0,0,1
1636805017.22854,1,0,0,1,1
1636805018.2565,1,0,0,1,1
1636805019.28508,1,0,0,1,1
1636805020.31389,1,0,0,1,1
1636805021.34245,1,0,0,1,1
1636805022.37079,0,0,0,1,1
1636805023.39923,0,0,0,1,1
1636805024.42853,0,0,0,1,1
1636805025.45764,0,0,0,1,1
1636805026.48656,0,0,0,1,1
1636805027.51484,0,0,0,1,0
1636805028.54371,0,0,0,1,0
1636805029.57335,0,0,0,1,0
1636805030.60549,0,0,0,1,0
1636805031.63392,0,0,0,1,0
1636805032.66258,0,0,0,1,0
1636805033.69106,0,0,0,1,0
1636805034.71888,0,0,0,1,0
1636805035.74821,0,0,0,1,0
1636805036.77644,0,0,0,1,0
1636805037.80468,0,0,0,1,0
1636805038.8332,0,0,0,1,0
1636805039.86145,0,0,0,1,0
1636805040.89014,0,0,0,1,0
1636805041.91954,0,0,0,1,0
1636805042.9477,0,0,0,1,0
1636805043.97557,0,0,0,1,0
1636805045.00381,0,0,0,1,0
1636805046.03198,0,0,0,1,0
1636805047.06036,0,0,0,1,0
1636805048.08883,0,0,0,1,0
1636805049.11797,0,0,0,0,0
1636805050.14669,0,0,0,0,0
1636805051.17474,0,0,0,0,0
1636805052.20253,0,0,0,0,0
